,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
2848,MLS Listing,,Condo/Co-op,209 E 56th St Unit 8-F,New York,NY,10022.0,699000.0,1.0,1.0,Midtown Central,700.0,10000.0,1959.0,49.0,999.0,1798.0,Active,,,https://www.redfin.com/NY/New-York/209-E-56th-St-10022/unit-8F/home/175300695,REBNY,OLRS-2025565,N,Y,40.7593922,-73.9671445
2849,MLS Listing,,Condo/Co-op,211 E 53rd St Unit 9-D,New York,NY,10022.0,1395000.0,3.0,2.0,Midtown Central,,15817.0,1959.0,49.0,,3153.0,Active,,,https://www.redfin.com/NY/New-York/211-E-53rd-St-10022/unit-9D/home/45319083,REBNY,OLRS-591607,N,Y,40.7575405,-73.96836
2850,MLS Listing,,Condo/Co-op,420 E 51st St Unit 10-C,New York,NY,10022.0,495000.0,2.0,2.0,Beekman,1200.0,18075.0,1962.0,49.0,413.0,4200.0,Active,April-23-2023 01:30 PM,April-23-2023 02:30 PM,https://www.redfin.com/NY/New-York/420-E-51st-St-10022/unit-10C/home/177252877,REBNY,OLRS-00011962654,N,Y,40.7540391,-73.9651308
2851,MLS Listing,,Condo/Co-op,235 E 57th St Unit 7F,New York,NY,10022.0,1349000.0,2.0,2.0,Midtown Central,,9037.0,1960.0,50.0,,2576.0,Active,April-23-2023 02:00 PM,April-23-2023 03:00 PM,https://www.redfin.com/NY/New-York/235-E-57th-St-10022/unit-7F/home/181794692,REBNY,RPLU-558722328770,N,Y,40.7598069,-73.965722
2852,MLS Listing,,Condo/Co-op,342 E 53rd St Unit 2-C,New York,NY,10022.0,350000.0,0.0,1.0,Turtle Bay,,7531.0,1958.0,50.0,,939.0,Active,April-22-2023 11:00 AM,April-22-2023 01:00 PM,https://www.redfin.com/NY/New-York/342-E-53rd-St-10022/unit-2C/home/45201165,REBNY,OLRS-136427,N,Y,40.7558223,-73.9655138
2853,MLS Listing,,Condo/Co-op,424 E 57th St Unit 6D,New York,NY,10022.0,699000.0,1.0,1.0,Sutton,800.0,7150.0,1925.0,50.0,874.0,2055.0,Active,April-23-2023 01:00 PM,April-23-2023 02:30 PM,https://www.redfin.com/NY/New-York/424-E-57th-St-10022/unit-6D/home/45169028,REBNY,PRCH-7506144,N,Y,40.757716,-73.9621802
2854,MLS Listing,,Condo/Co-op,332 E 54th St Unit 1BC,New York,NY,10022.0,1595000.0,2.0,2.0,N/A,1441.0,,1910.0,51.0,1107.0,2624.0,Active,,,https://www.redfin.com/NY/New-York/332-E-54th-St-10022/unit-1BC/home/45154767,OneKey,H6234945,N,Y,40.756661,-73.965593
2855,MLS Listing,,Condo/Co-op,36 Sutton Pl S Unit 11A,New York,NY,10022.0,985000.0,2.0,2.0,Sutton,,13213.0,1949.0,51.0,,3210.0,Active,,,https://www.redfin.com/NY/New-York/36-Sutton-Pl-S-10022/unit-11A/home/179832975,REBNY,RLMX-87493-2776516,N,Y,40.7563196,-73.9618588
2856,MLS Listing,,Condo/Co-op,,New York,NY,10022.0,760000.0,1.0,1.0,Building,,,1965.0,52.0,,,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10022/home/45285262,OneKey,3461262,N,Y,40.761661,-73.9653315
2857,MLS Listing,,Condo/Co-op,118 E 60th St Unit 26G,New York,NY,10022.0,1350000.0,2.0,2.0,Lenox Hill,,24100.0,1964.0,52.0,,,Active,,,https://www.redfin.com/NY/New-York/118-E-60th-St-10022/unit-26G/home/184548934,REBNY,BNYC-1976133,N,Y,40.7626808,-73.9682907
2858,MLS Listing,,Condo/Co-op,300 E 55th St Unit PHB,New York,NY,10022.0,5750000.0,3.0,3.5,Sutton,2515.0,11666.0,2005.0,52.0,2286.0,2921.0,Active,April-23-2023 11:00 AM,April-23-2023 12:00 PM,https://www.redfin.com/NY/New-York/300-E-55th-St-10022/unit-PHB/home/114919022,REBNY,RPLU-33422205165,N,Y,40.7577216,-73.9660046
2859,MLS Listing,,Condo/Co-op,150 E 56th St Unit 1-E,New York,NY,10022.0,450000.0,1.0,1.0,Midtown Central,513.0,9037.0,1956.0,53.0,877.0,900.0,Active,,,https://www.redfin.com/NY/New-York/150-E-56th-St-10022/unit-1E/home/180636366,REBNY,OLRS-2022148,N,Y,40.7597303,-73.9689806
2860,MLS Listing,,Condo/Co-op,100 E 53rd St Unit 26A,New York,NY,10022.0,3622500.0,2.0,2.0,Midtown Central,1638.0,13342.0,2017.0,53.0,2212.0,2985.0,Active,April-22-2023 11:00 AM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/100-E-53rd-St-10022/unit-26A/home/167300367,REBNY,RPLU-756522015667,N,Y,40.7584662,-73.9715095
2861,MLS Listing,,Condo/Co-op,100 E 53rd St Unit 15A,New York,NY,10022.0,4450000.0,2.0,2.5,Midtown Central,1970.0,13342.0,2017.0,53.0,2259.0,3590.0,Active,April-22-2023 11:00 AM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/100-E-53rd-St-10022/unit-15A/home/115011666,REBNY,RPLU-756521606211,N,Y,40.7584662,-73.9715095
2862,MLS Listing,,Condo/Co-op,100 E 53rd St Unit 15B,New York,NY,10022.0,1825000.0,0.0,1.0,Midtown Central,1034.0,13342.0,2017.0,53.0,1765.0,1884.0,Active,April-22-2023 11:00 AM,April-22-2023 02:00 PM,https://www.redfin.com/NY/New-York/100-E-53rd-St-10022/unit-15B/home/147154306,REBNY,RPLU-756521606213,N,Y,40.7584662,-73.9715095
